identifiant,section,element,selecteur_maquette,correspondant_v2,statut,proprietes_non_conformes
11.04,11 - Newsletter,Paragraphe descriptif,.newsletter > .wrap > div > p,.v2-newsletter p,CONFORME,"re-vérifié directement : Inter/16px/400/lineHeight 25.6px/589×51 identiques (le statut CONTRÔLE MANUEL REQUIS initial provenait d'une troncature de comparaison, corrigé par mesure directe)"
11.05,11 - Newsletter,Formulaire newsletter-form — conteneur,form.newsletter-form,.v2-newsletter-form,CONFORME,hauteur du formulaire 164px identique après corrections (police/line-height des inputs et du checkbox)
11.06,11 - Newsletter,Label « Votre adresse e-mail »,form.newsletter-form label[for=email],label équivalent,CONFORME,"corrigé : line-height 20.8px ajouté sur .newsletter (hérité) — hauteur 21px, largeur 501px identiques désormais"
11.07,11 - Newsletter,Champ email,input#email,input email équivalent,CONFORME,"corrigé : font-size ramené à 16px (hérité, au lieu de 15px forcé) + line-height 1.6 ajouté sur .newsletter-form input — hauteur 52px, largeur 368px identiques désormais (le diff initial du référentiel était en réalité dupliqué par erreur avec 11.10, corrigé par mesure directe)"
11.08,11 - Newsletter,Bouton « S'inscrire » + flèche,button[type=submit] (newsletter),bouton équivalent,CONFORME,"re-vérifié directement : couleur rgb(255,255,255), fond rgb(109,49,242), font-weight 750 identiques — line-height 1.6 ajouté sur .newsletter-form button, hauteur 52px identique désormais (l'écart initial du référentiel — couleur rgb(215,201,255), font-weight 600 — ne correspondait pas à cet élément mais à la flèche du ticker du header, erreur d'appariement automatique)"
11.09,11 - Newsletter,Label consentement RGPD,label.consent,.v2-consent,CONFORME,re-vérifié : structure et style identiques
11.10,11 - Newsletter,Case à cocher consentement,label.consent input[type=checkbox],checkbox équivalent,CONFORME,"corrigé : margin restauré à 2px 3px 3px 4px (valeurs par défaut du navigateur pour une case à cocher, écrasées par le reset universel *{margin:0} du site — corrigé localement sur .newsletter .consent input sans toucher au reset global) — hauteur de la ligne de consentement 23px identique désormais (le diff initial était dupliqué par erreur avec 11.07, corrigé par mesure directe)"
11.11,11 - Newsletter,Texte consentement,label.consent span,.v2-consent span,CONFORME,corrigé : line-height 20.8px hérité de .newsletter — hauteur 21px identique désormais ; text-align start=left non compté comme écart (rendu identique)
11.12,11 - Newsletter,Note « Aucun spam · Désabonnement en 1 clic »,p.form-note,.v2-form-note,CONFORME,"corrigé : text-align remis à center (était forcé à left, contredisait explicitement la maquette) + line-height 19.2px hérité — hauteur 19px, largeur 501px identiques désormais"
12.01,12 - Footer,Grille footer — conteneur (footer-grid),.footer-grid,.v2-footer-grid,CONFORME,"display grid, gap 90px, hauteur 183px identiques des deux côtés (vérifié après correction — l'écart de hauteur observé avant correction a disparu)"
12.02,12 - Footer,Titre h2 « Serge Hapita Ministries » (footer-about),.footer-about h2,.v2-footer-about h2,CONFORME,"fontFamily/fontSize/fontWeight/fontStyle/lineHeight(40px)/letterSpacing/color(rgb(104,100,120))/dimensions (491×40) identiques — re-vérifié directement (le statut CONFORME initial du référentiel n'était pas mesuré ; confirmé maintenant par mesure réelle)"
12.02b,12 - Footer,H2 footer — em « Ministries »,.footer-about h2 em,.v2-footer-about h2 em,CONFORME,"corrigé : couleur rgb(104,100,120) et letter-spacing normal restaurés (héritage de .v2-footer-about h2, qui ne force plus color:var(--v2-ink) ni le letter-spacing hérité de la règle globale h1,h2,h3,h4) — vérifié : 25px/500/italic/lineHeight 40px/rgb(104,100,120)/normal, largeur 114px identique des deux côtés"
12.03,12 - Footer,Paragraphe footer-about,.footer-about p,.v2-footer-about p,CONFORME,"texte intégral vérifié identique (Inter/15px/400/lineHeight 25.5px/rgb(104,100,120)/460×77) — non capturé par l'automate initial à cause d'une troncature de comparaison à 80 caractères, corrigé par mesure directe"
12.04,12 - Footer,Nav footer-links — conteneur,nav.footer-links,.v2-footer-links,CONFORME,"display grid, gap 40px identiques"
12.05,12 - Footer,Titre colonne « Le site »,footer-links div:nth-child(1) strong,strong équivalent,CONFORME,line-height 19.2px ajouté sur .v2-footer-links strong — hauteur 19px identique désormais
12.06,12 - Footer,Lien « De Serge » (colonne Le site),footer-links div:nth-child(1) a,lien équivalent,CONFORME,line-height 22.4px ajouté sur .v2-footer-links a — hauteur 22px identique désormais
12.07,12 - Footer,Lien « Livres » (colonne Le site),footer-links div:nth-child(1) a,lien équivalent,CONFORME,line-height 22.4px ajouté sur .v2-footer-links a — hauteur 22px identique désormais
12.08,12 - Footer,Lien « Publications » (colonne Le site),footer-links div:nth-child(1) a,lien équivalent,CONFORME,line-height 22.4px ajouté sur .v2-footer-links a — hauteur 22px identique désormais
12.09,12 - Footer,Lien « Boutique » (colonne Le site),footer-links div:nth-child(1) a,lien équivalent,CONFORME,line-height ajouté sur .v2-footer-links a — hauteur identique désormais
12.10,12 - Footer,Titre colonne « Ministère »,footer-links div:nth-child(2) strong,strong équivalent,CONFORME,line-height 19.2px ajouté sur .v2-footer-links strong — hauteur 19px identique désormais
12.11,12 - Footer,Lien « Mission » (colonne Ministère),footer-links div:nth-child(2) a[href*=mission],—,CONFORME,"lien « Mission » ajouté dans getFooterColumns() en 1ère position de la colonne Ministère (ordre exact de la maquette) ; police/couleur/line-height identiques (Inter 14px 400 rgb(23,20,45) lineHeight 22.4px, 51×22)"
12.12,12 - Footer,Lien « Invitation » (colonne Ministère),footer-links div:nth-child(2) a,lien équivalent,CONFORME,line-height 22.4px ajouté sur .v2-footer-links a — hauteur 22px identique désormais
12.13,12 - Footer,Lien « Partenariat » (colonne Ministère),footer-links div:nth-child(2) a,lien équivalent,CONFORME,line-height 22.4px ajouté sur .v2-footer-links a — hauteur 22px identique désormais
12.14,12 - Footer,Lien « Connaître Jésus » (colonne Ministère),footer-links div:nth-child(2) a,lien équivalent,CONFORME,line-height ajouté sur .v2-footer-links a — hauteur identique désormais
12.15,12 - Footer,Lien « Contact » (colonne Ministère),footer-links div:nth-child(2) a,lien équivalent,CONFORME,line-height ajouté sur .v2-footer-links a — hauteur identique désormais
12.16,12 - Footer,Titre colonne « Réseaux »,footer-links div:nth-child(3) strong,strong équivalent,CONFORME,line-height 19.2px ajouté sur .v2-footer-links strong — hauteur 19px identique désormais
12.17,12 - Footer,Lien « YouTube » (colonne Réseaux),footer-links div:nth-child(3) a,lien équivalent,CONFORME,fontFamily re-vérifié directement : Inter identique des deux côtés (l'écart du référentiel initial était un artefact de mesure) ; line-height 22.4px ajouté
12.18,12 - Footer,Lien « Instagram » (colonne Réseaux),footer-links div:nth-child(3) a,lien équivalent,CONFORME,fontFamily re-vérifié directement : Inter identique des deux côtés (artefact de mesure initial) ; line-height 22.4px ajouté
12.19,12 - Footer,Lien « TikTok » (colonne Réseaux),footer-links div:nth-child(3) a,lien équivalent,CONFORME,fontFamily re-vérifié directement : Inter identique des deux côtés (artefact de mesure initial) ; line-height 22.4px ajouté
12.20,12 - Footer,Lien « Facebook » (colonne Réseaux),footer-links div:nth-child(3) a,lien équivalent,CONFORME,fontFamily re-vérifié directement : Inter identique des deux côtés (artefact de mesure initial) ; line-height 22.4px ajouté
12.21,12 - Footer,Copyright « © 2026 Serge Hapita Ministries... »,.footer-bottom span,.v2-footer-bottom span,CONFORME,line-height 17.6px ajouté sur .v2-footer-bottom — hauteur 18px identique désormais
12.22,12 - Footer,Nav légale — conteneur,.footer-bottom nav,.v2-footer-bottom nav,CONFORME,
12.23,12 - Footer,Lien « Mentions légales »,.footer-bottom nav a,lien équivalent,CONFORME,line-height 17.6px ajouté (hérité de .v2-footer-bottom) — hauteur 13px identique désormais
12.24,12 - Footer,Lien « Politique de confidentialité »,.footer-bottom nav a,lien équivalent,CONFORME,line-height 17.6px ajouté (hérité de .v2-footer-bottom) — hauteur identique désormais
12.25,12 - Footer,Lien « Politique de cookies »,.footer-bottom nav a,lien équivalent,CONFORME,line-height 17.6px ajouté (hérité de .v2-footer-bottom) — hauteur identique désormais
12.26,12 - Footer,Lien « Termes et conditions »,.footer-bottom nav a,lien équivalent,CONFORME,line-height 17.6px ajouté (hérité de .v2-footer-bottom) — hauteur identique désormais
13.01,13 - Page entière,"Densité du corps de texte (rendu réel du texte, au-delà des valeurs CSS calculées)","body (auto, comportement natif du navigateur)",.v2-home,CONFORME,"corrigé (retour de validation humaine sur De Serge, appliqué par cohérence, 12/09) : body{-webkit-font-smoothing:antialiased} — règle globale héritée de l'ancienne charte, absente de la maquette — était héritée dans toute la page. -webkit-font-smoothing:auto restauré localement sur .v2-home, jamais sur la règle globale body."
13.02,Header partagé,Logo (dimensions réelles),.brand img,.v2-brand img,CONFORME,"corrigé (retour de validation humaine, contrôle « fenêtre contre fenêtre », 12/09) : le fichier site/public/logo.png différait de l'actif de la maquette (900×339, ratio 2.655) au lieu de 2048×682 (ratio 3.003) — avec height:auto (identique des deux côtés), ce mauvais ratio produisait une hauteur rendue de 70.98px au lieu de 62.6px pour une largeur de 188px identique, d'où un logo perçu ~13% plus grand. Cause démontrée par getBoundingClientRect + naturalWidth/Height des deux côtés, pas par jugement visuel. Fichier remplacé par l'actif exact de la maquette (prototype-html/assets/logo.png) ; aucune règle CSS modifiée (déjà fidèle à la maquette). Re-mesuré sur les 4 pages migrées : 188×62.6px partout."
13.03,07 - Agenda / Événements,Bloc « À revivre » — gabarit du rendu dynamique (événements passés),.past-event / .past-events / .micro-label,.v2-past-event / .v2-past-events / .micro-label,CONFORME,"contrôlé sans fabriquer de donnée (table events vide) : le code (getPastEvents, page.tsx) affiche actuellement un message honnête (« Les premiers événements passés apparaîtront ici »), jamais de contenu fictif. CSS comparée ligne à ligne à publications.css/styles.css § .past-event : grid-template-columns 105px 1fr auto, min-height 134px, bordures, typographies (time/strong/span/b) toutes identiques aux tokens --v2- près. Une règle .v2-past-event:first-child{border-top:0} sans équivalent dans la maquette a été testée par simulation DOM éphémère (aucune donnée persistée) : elle ne matche jamais l'élément réel (le <p class=""micro-label""> est toujours le premier enfant de .v2-past-events, jamais un .v2-past-event) — code mort, sans aucun effet visuel, non corrigé. Conclusion : l'absence actuelle des 2 événements passés est uniquement due à la donnée manquante ; le gabarit dynamique produira le rendu exact de la maquette dès qu'un événement passé sera créé dans l'administration."
13.04,Header partagé,Menus déroulants « À propos »/« Publications » — fermeture après navigation,.nav-dropdown (comportement natif <details>),.v2-nav-dropdown (DesktopNav.tsx),CONFORME,"comportement déjà correct sur l'accueil avant et après le correctif (jamais atteint depuis un lien à l'intérieur d'un menu déroulant) — re-testé réellement (survol, ouverture, clic, retour du focus) sur les deux menus après le correctif appliqué pour /de-serge et /mission : aucune régression."
